transaction_id,order_date,customer_id,product_id,product_name,category,subcategory,brand,original_price_inr,discount_percent,discounted_price_inr,quantity,subtotal_inr,delivery_charges,final_amount_inr,customer_city,customer_state,customer_tier,customer_spending_tier,customer_age_group,payment_method,delivery_days,delivery_type,is_prime_member,is_festival_sale,festival_name,customer_rating,return_status,order_month,order_year,order_quarter,product_weight_kg,is_prime_eligible,product_rating
TXN_2016_00000001,2016-01-27,CUST_2016_00002571,PROD_000124,Apple iPhone SE 16GB White,Electronics,Smartphones,Apple,101945.03,0.0,101945.03,3,305835.09,0.0,305835.09,Pune,Maharashtra,Tier1,Standard,26-35,COD,3,Standard,False,False,,,Delivered,1,2016,1,0.23,True,4.6
TXN_2016_00000002,2016-01-07,CUST_2016_00003513,PROD_001612,Apple Pavilion 8GB RAM Silver,Electronics,Laptops,Apple,52750.75,14.72,44987.09,2,89974.19,0.0,89974.19,Lucknow,Uttar Pradesh,Tier1,Budget,36-45,COD,15,Standard,False,False,,,Delivered,1,2016,1,2.69,True,3.7
TXN_2016_00000003,2016-01-28,CUST_2015_00001993,PROD_001751,Realme Slate 4GB RAM Black,Electronics,Tablets,Realme,18238.6,0.0,18238.6,3,54715.8,0.0,54715.8,Mumbai,Maharashtra,Metro,Standard,36-45,COD,5,Standard,False,False,,5.0,Delivered,1,2016,1,0.59,True,3.9
TXN_2016_00000004,25-01-2016,CUST_2016_00003593,PROD_000154,Samsung Galaxy J7 Prime 16GB Gold,Electronics,Smartphones,Samsung,33118.39,44.96,18228.86,1,18228.86,0.0,18228.86,Ahmedabad,Gujarat,Tier1,Budget,18-25,Credit Card,5,Standard,False,True,Republic Day Sale,4.5,Delivered,1,2016,1,0.17,TRUE,3.4
TXN_2016_00000005,2016-01-26,CUST_2016_00015048,PROD_001710,Lenovo Tab M10 8GB RAM Black,Electronics,Tablets,Lenovo,59718.16,49.77,29997.57,1,29997.57,0.0,29997.57,Delhi,Delhi,Metro,Standard,18-25,COD,4,Standard,False,True,Republic Day Sale,,Delivered,1,2016,1,0.49,True,4.1
TXN_2016_00000006,2016-01-05,CUST_2016_00012117,PROD_000034,Samsung Galaxy S6 Edge 16GB Blue,Electronics,Smartphones,Samsung,96021.61,28.37,68777.83,1,68777.83,0.0,68777.83,Delhi,Delhi,Metro,Standard,36-45,Debit Card,7,Standard,False,False,,4.5,Returned,1,2016,1,0.18,TRUE,3.3
TXN_2016_00000007,2016-01-02,CUST_2015_00007223,PROD_001935,Garmin Watch Deluxe,Electronics,Smart Watch,Garmin,46161.87,27.5,33469.56,1,33469.56,0.0,33469.56,Chennai,Tamil Nadu,Metro,Standard,,COD,5,Standard,False,False,,4.0,Delivered,1,2016,1,0.08,False,4.8
TXN_2016_00000008,2016-01-18,CUST_2015_00003084,PROD_000058,OnePlus OnePlus X 16GB Black,Electronics,Smartphones,OnePlus,101282.29,5.71,95496.68,1,95496.68,0.0,95496.68,Surat,Gujarat,Tier1,Standard,18-25,COD,4,Standard,0,False,,,Delivered,1,2016,1,0.16,True,3.7
TXN_2016_00000009,2016-01-13,CUST_2015_00004286,PROD_000090,Motorola Moto G (3rd Gen) 32GB Blue,Electronics,Smartphones,Motorola,24101.7,0.0,24101.7,1,24101.7,,24101.7,Mumbai,Maharashtra,Metro,Budget,18-25,COD,3,Standard,False,FALSE,,4.5,Delivered,1,2016,1,0.2,TRUE,3.8
TXN_2016_00000010,2016-01-03,CUST_2016_00013276,PROD_000132,Samsung Galaxy S7 Edge 16GB Black,Electronics,Smartphones,Samsung,101166.56,0.0,101166.56,1,101166.56,0.0,101166.56,Delhi,Delhi,Metro,Standard,26-35,COD,3,Standard,False,False,,3.5,Delivered,1,2016,1,0.2,True,4.4
TXN_2016_00000011,2016-01-01,CUST_2015_00003948,PROD_000167,OnePlus OnePlus 3T 64GB White,Electronics,Smartphones,OnePlus,85543.31,0.0,85543.31,1,85543.31,0.0,85543.31,Chennai,Tamil Nadu,Metro,Standard,,Credit Card,4,Standard,False,No,,5.0,Delivered,1,2016,1,0.24,True,3.5
TXN_2016_00000012,2016-01-25,CUST_2016_00012327,PROD_000037,Samsung Galaxy Note 5 16GB Black,Electronics,Smartphones,Samsung,89153.93,24.49,67318.22,2,134636.45,0.0,134636.45,Vadodara,Gujarat,Tier2,Standard,36-45,COD,5,Standard,False,True,Republic Day Sale,4.5,Delivered,1,2016,1,0.22,True,3.8
TXN_2016_00000013,2016-01-24,CUST_2015_00007054,PROD_001567,Lenovo Ultrabook 8GB RAM Silver,Electronics,Laptops,Lenovo,42755.83,28.7,30486.7,1,30486.7,0.0,30486.7,Coimbatore,Tamil Nadu,Tier2,Standard,26-35,COD,6,Standard,False,True,Republic Day Sale,4.0,Delivered,1,2016,1,1.29,False,4.2
TXN_2016_00000014,09/01/2016,CUST_2016_00017630,PROD_000095,Motorola Moto X Play 16GB White,Electronics,Smartphones,Motorola,23059.33,0.0,23059.33,1,23059.33,0.0,23059.33,Kolkata,West Bengal,Metro,Budget,26-35,Credit Card,4,Standard,False,False,,3.0,Delivered,1,2016,1,0.16,False,3.7
